Year,Price
1946,21.29333333
1947,25.29166667
1948,32.83083333
1949,33.14833333
1950,32.80333333
1951,30.405
1952,29.725
1953,31.15
1954,32.25
1955,32.34
1956,31.8575
1957,33.26583333
1958,32.54333333
1959,31.34083333
1960,30.83583333
1961,30.50833333
1962,30.15
1963,29.78
1964,29.155
1965,28.45583333
1966,27.78333333
1967,27.86
1968,27.10416667
1969,27.57666667
1970,26.50583333
1971,26.99833333
1972,26.14333333
1973,26.73833333
1974,64.59333333
1975,63.7
1976,68.1775
1977,72.41583333
1978,69.94583333
1979,93.96166667
1980,139.3508333
1981,123.9991667
1982,106.9958333
1983,93.73916667
1984,86.47666667
1985,79.55583333
1986,40.35833333
1987,51.44333333
1988,41.5125
1989,48.46416667
1990,58.0825
1991,47.55083333
1992,44.97
1993,39.37916667
1994,36.11333333
1995,37.11666667
1996,42.49916667
1997,38.99416667
1998,27.38916667
1999,36.14
2000,53.025
2001,43.78166667
2002,45.31166667
2003,51.48083333
2004,67.55416667
2005,89.98333333
2006,101.975
2007,110.8425
2008,140.2075
2009,91.35666667
2010,112.615
2011,132.4266667
2012,125.82
2013,128.635
2014,118.2883333
2015,63.87166667
2016,56.84166667
2017,64.95916667
2018,78.915
2019,68.59083333
2020,45.76083333
2021,77.17833333
2022,98.4
2023,77.9125
Grand Total,58.00638889
